Location,Year,Population,n.Year,n.Population
"Haywood County, North Carolina",2018,61890,n.2018,0.78
"Haywood County, North Carolina",2019,62317,n.2019,1
"Henderson County, North Carolina",2016,113583,n.2016,0
"Henderson County, North Carolina",2017,115216,n.2017,0.43
"Henderson County, North Carolina",2018,116500,n.2018,0.76
"Henderson County, North Carolina",2019,117417,n.2019,1
"Hertford County, North Carolina",2016,24209,n.2016,1
"Hertford County, North Carolina",2017,23923,n.2017,0.46
"Hertford County, North Carolina",2018,23878,n.2018,0.38
"Hertford County, North Carolina",2019,23677,n.2019,0
"Hoke County, North Carolina",2016,52981,n.2016,0
"Hoke County, North Carolina",2017,54138,n.2017,0.51
"Hoke County, North Carolina",2018,54695,n.2018,0.76
"Hoke County, North Carolina",2019,55234,n.2019,1
"Hyde County, North Carolina",2016,5434,n.2016,1
"Hyde County, North Carolina",2017,5240,n.2017,0.61
"Hyde County, North Carolina",2018,5026,n.2018,0.18
"Hyde County, North Carolina",2019,4937,n.2019,0
"Iredell County, North Carolina",2016,172466,n.2016,0
"Iredell County, North Carolina",2017,175634,n.2017,0.34
"Iredell County, North Carolina",2018,178332,n.2018,0.63
"Iredell County, North Carolina",2019,181806,n.2019,1
"Jackson County, North Carolina",2016,42622,n.2016,0
"Jackson County, North Carolina",2017,43224,n.2017,0.46
"Jackson County, North Carolina",2018,43600,n.2018,0.74
"Jackson County, North Carolina",2019,43938,n.2019,1
"Johnston County, North Carolina",2016,190843,n.2016,0
"Johnston County, North Carolina",2017,196374,n.2017,0.3
"Johnston County, North Carolina",2018,202692,n.2018,0.64
"Johnston County, North Carolina",2019,209339,n.2019,1
"Jones County, North Carolina",2016,9588,n.2016,0.87
"Jones County, North Carolina",2017,9573,n.2017,0.79
"Jones County, North Carolina",2018,9613,n.2018,1
"Jones County, North Carolina",2019,9419,n.2019,0
"Lee County, North Carolina",2016,59646,n.2016,0
"Lee County, North Carolina",2017,60403,n.2017,0.35
"Lee County, North Carolina",2018,61208,n.2018,0.73
"Lee County, North Carolina",2019,61779,n.2019,1
"Lenoir County, North Carolina",2016,57240,n.2016,1
"Lenoir County, North Carolina",2017,56622,n.2017,0.52
"Lenoir County, North Carolina",2018,55990,n.2018,0.03
"Lenoir County, North Carolina",2019,55949,n.2019,0
"Lincoln County, North Carolina",2016,81229,n.2016,0
"Lincoln County, North Carolina",2017,82557,n.2017,0.27
"Lincoln County, North Carolina",2018,84092,n.2018,0.59
"Lincoln County, North Carolina",2019,86111,n.2019,1
"McDowell County, North Carolina",2016,44866,n.2016,0
"McDowell County, North Carolina",2017,45083,n.2017,0.24
"McDowell County, North Carolina",2018,45465,n.2018,0.67
"McDowell County, North Carolina",2019,45756,n.2019,1
"Macon County, North Carolina",2016,34262,n.2016,0
"Macon County, North Carolina",2017,34581,n.2017,0.2
"Macon County, North Carolina",2018,35274,n.2018,0.63
"Macon County, North Carolina",2019,35858,n.2019,1
"Madison County, North Carolina",2016,21367,n.2016,0
"Madison County, North Carolina",2017,21563,n.2017,0.51
"Madison County, North Carolina",2018,21665,n.2018,0.77
"Madison County, North Carolina",2019,21755,n.2019,1
"Martin County, North Carolina",2016,23122,n.2016,1
"Martin County, North Carolina",2017,22763,n.2017,0.47
